CMOR Dimensions,,,,,,,,,,,,,,,,,,,,,

CMOR table(s),CMOR dimension,output dimension name,description,standard name,long name,axis,units,index axis?,coords_attrib,bounds?,stored direction,valid_min,valid_max,type,positive,value,bounds _values,requested,bounds_ requested,tol_on_requests: variance from requested values that is tolerated,grid?
"fx, Amon, Lmon,Aday",longitude,lon,,longitude,longitude,X,degrees_east,,,yes,increasing,0,360,double,,,,,,,
"fx, Amon, Lmon, Aday",latitude,lat,,latitude,latitude,Y,degrees_north,,,yes,increasing,-90,90,double,,,,,,,
Amon,plevs,plev,There are 17 mandatory levels and up to 6 additional levels requested of models with sufficient resolution in the stratosphere.,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,,,100000. 92500. 85000. 70000. 60000. 50000. 40000. 30000. 25000. 20000. 15000. 10000. 7000. 5000. 3000. 2000. 1000.,,0.001,
Aday,plev8,plev,,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,,,85000. 25000.1000.,,0.001,
"Amon, Lmon, Aday",time,time,for time-mean fields,time,time,T,days since ?,,,yes,increasing,,,double,,,,,,,
"Amon, Aday",height2m,height,~2 m standard surface air temperature and surface humidity  height,height,height,Z,m,,,no,increasing,1,10,double,up,2.,,,,,
 ,height10m,height,~10 m standard wind speed height,height,height,Z,m,,,no,increasing,1,30,double,up,10.,,,,,
CMOR Table fx: Time-Invariant Fields,,,,,fx,fx,,,,,,,,,,,,,,,,
on atmospheric grid,,,,,,,,,,,,,,,,,,,,,,
"Atmospheric and land fields may be submitted on a (single) grid of the modeling group's choosing.  We expect most groups will elect to save output on the native grid.  If data is ""interpolated"" to a different grid, it is important to preserve certain global mean properties (e.g., the total surface fluxes of heat, momentum, and water mass).",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Atmosphere Grid-Cell Area,m2,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",areacella,cell_area,,m2,,100000.000000,1000000000000.000000,100000.000000,1000000000000.000000,,real,longitude latitude,areacella,atmos land,,,,
1,Surface Altitude,m,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean).",,orog,surface_altitude,,m,,-700,10000.000000,,,,real,longitude latitude,orog,atmos,,area: areacella,,
1,Land Area Fraction,%,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",sftlf,land_area_fraction,,%,,0,100,,,,real,longitude latitude,sftlf,atmos,,area: areacella,,
1,Fraction of Grid Cell Covered with Glacier,%,"fraction of grid cell occupied by ""permanent"" ice (i.e., glaciers).  "," For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",sftgif,land_ice_area_fraction,,%,,0,100,,,,real,longitude latitude,sftgif,land,,area: areacella,,
